lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/ResourceId,lineItem/UnblendedCost,lineItem/UsageAmount,lineItem/UsageType,resourceTags/user:Environment,resourceTags/user:Team,resourceTags/user:Project
2024-06-01T00:00:00Z,AmazonEC2,us-east-1,i-0abc123def456,145.60,730,BoxUsage:m5.large,production,backend,api-service
2024-06-01T00:00:00Z,AmazonEC2,us-east-1,i-0abc123def457,145.60,730,BoxUsage:m5.large,production,backend,api-service
2024-06-01T00:00:00Z,AmazonEC2,us-east-1,i-0abc123def458,72.80,730,BoxUsage:t3.medium,staging,backend,api-service
2024-06-01T00:00:00Z,AmazonEC2,us-east-1,i-0abc123def459,72.80,730,BoxUsage:t3.medium,staging,backend,api-service
2024-06-01T00:00:00Z,AmazonRDS,us-east-1,db-cluster-apidb,350.40,730,InstanceUsage:db.r5.xlarge,production,database,api-service
2024-06-01T00:00:00Z,AmazonS3,us-east-1,arn:aws:s3:::my-app-assets,45.80,2000,TimedStorage-ByteHrs,production,storage,assets
2024-06-01T00:00:00Z,AmazonS3,us-east-1,arn:aws:s3:::my-app-backups,98.50,4300,TimedStorage-ByteHrs,production,storage,backups
2024-06-01T00:00:00Z,AmazonCloudFront,us-east-1,,287.65,5000,DataTransfer-Out-Bytes,production,cdn,api-service
2024-06-01T00:00:00Z,AWSLambda,us-east-1,arn:aws:lambda:us-east-1:123456:function:ProcessOrders,15.30,300000,Request,production,compute,order-processor
2024-06-01T00:00:00Z,AWSLambda,us-east-1,arn:aws:lambda:us-east-1:123456:function:ProcessOrders,32.50,6500000,Lambda-GB-Second,production,compute,order-processor
2024-06-01T00:00:00Z,AmazonDynamoDB,us-east-1,UserSessions,125.80,0,TimedStorage-ByteHrs,production,database,sessions
2024-06-01T00:00:00Z,AmazonDynamoDB,us-east-1,UserSessions,45.20,125000000,WriteRequestUnits,production,database,sessions
2024-06-01T00:00:00Z,AmazonDynamoDB,us-east-1,UserSessions,18.90,450000000,ReadRequestUnits,production,database,sessions
2024-06-01T00:00:00Z,AmazonEC2,us-east-1,vol-0123abc456def,96.00,1200,EBS:VolumeUsage.gp3,production,storage,api-service
2024-06-01T00:00:00Z,ElastiCache,us-east-1,redis-cluster-cache01,146.08,730,NodeUsage:cache.r5.large,production,cache,api-service
2024-06-01T00:00:00Z,AmazonCloudWatch,us-east-1,,78.40,0,TimedStorage-ByteHrs,production,monitoring,all
2024-06-01T00:00:00Z,AmazonCloudWatch,us-east-1,,12.50,500000,PutLogEvents,production,monitoring,all
2024-06-01T00:00:00Z,AmazonSNS,us-east-1,,5.60,5000000,Requests-Tier1,production,messaging,notifications
2024-06-01T00:00:00Z,AmazonSQS,us-east-1,,4.20,10500000,Requests-Tier1,production,messaging,job-queue
2024-06-01T00:00:00Z,AWSWAF,us-east-1,arn:aws:wafv2:us-east-1:123456:regional/webacl/prod,35.00,0,WebACL,production,security,api-service
2024-06-01T00:00:00Z,AmazonRoute53,us-east-1,,0.50,1,HostedZone,production,networking,dns
2024-06-01T00:00:00Z,AmazonRoute53,us-east-1,,0.40,1000000,Queries,production,networking,dns
2024-06-01T00:00:00Z,AmazonVPC,us-east-1,arn:aws:vpc:us-east-1:123456:vpc/vpc-123,22.05,730,NatGateway-Hours,production,networking,nat
2024-06-01T00:00:00Z,AmazonVPC,us-east-1,,45.30,503,NatGateway-Bytes,production,networking,nat
2024-06-01T00:00:00Z,awskms,us-east-1,,1.00,1,KMS-Keys,production,security,encryption
2024-06-01T00:00:00Z,AWSSecretsManager,us-east-1,,10.00,25,Secret,production,security,secrets
2024-06-01T00:00:00Z,AmazonEC2,us-west-2,i-0xyz789ghi012,20.80,730,BoxUsage:t3.small,development,backend,dev-env
2024-06-01T00:00:00Z,AmazonEC2,us-west-2,i-0xyz789ghi013,20.80,730,BoxUsage:t3.small,development,backend,dev-env
2024-06-01T00:00:00Z,AmazonRDS,us-west-2,db-dev-mysql,15.20,730,InstanceUsage:db.t3.micro,development,database,dev-db
2024-06-01T00:00:00Z,AmazonS3,us-west-2,arn:aws:s3:::dev-assets,2.30,100,TimedStorage-ByteHrs,development,storage,dev-assets
2024-06-02T00:00:00Z,AmazonEC2,us-east-1,i-0abc123def456,145.60,730,BoxUsage:m5.large,production,backend,api-service
2024-06-02T00:00:00Z,AmazonEC2,us-east-1,i-0abc123def457,145.60,730,BoxUsage:m5.large,production,backend,api-service
2024-06-02T00:00:00Z,AmazonRDS,us-east-1,db-cluster-apidb,350.40,730,InstanceUsage:db.r5.xlarge,production,database,api-service
2024-06-02T00:00:00Z,AWSLambda,us-east-1,arn:aws:lambda:us-east-1:123456:function:ProcessOrders,15.80,310000,Request,production,compute,order-processor
2024-06-02T00:00:00Z,AmazonDynamoDB,us-east-1,UserSessions,126.20,0,TimedStorage-ByteHrs,production,database,sessions
